,Symbol2
RDNI3,RDNI3.SA
RDOR3,RDOR3.SA
RECV3,RECV3.SA
REDE3,REDE3.SA
RENT3,RENT3.SA
ROMI3,ROMI3.SA
RPMG3,RPMG3.SA
RSID3,RSID3.SA
SBFG3,SBFG3.SA
SBSP3,SBSP3.SA
SCAR3,SCAR3.SA
SEER3,SEER3.SA
SEQL3,SEQL3.SA
SHOW3,SHOW3.SA
SLCE3,SLCE3.SA
SMFT3,SMFT3.SA
SMTO3,SMTO3.SA
SNSY3,SNSY3.SA
SOJA3,SOJA3.SA
SRNA3,SRNA3.SA
STBP3,STBP3.SA
SUZB3,SUZB3.SA
SYNE3,SYNE3.SA
TASA3,TASA3.SA
TCSA3,TCSA3.SA
TECN3,TECN3.SA
TELB3,TELB3.SA
TEND3,TEND3.SA
TGMA3,TGMA3.SA
TIMS3,TIMS3.SA
TOTS3,TOTS3.SA
TPIS3,TPIS3.SA
TRAD3,TRAD3.SA
TRIS3,TRIS3.SA
TTEN3,TTEN3.SA
TUPY3,TUPY3.SA
TXRX3,TXRX3.SA
UCAS3,UCAS3.SA
UGPA3,UGPA3.SA
UNIP3,UNIP3.SA
USIM3,USIM3.SA
VALE3,VALE3.SA
VAMO3,VAMO3.SA
VBBR3,VBBR3.SA
VITT3,VITT3.SA
VIVA3,VIVA3.SA
VIVR3,VIVR3.SA
VIVT3,VIVT3.SA
VLID3,VLID3.SA
VSTE3,VSTE3.SA
VTRU3,VTRU3.SA
VULC3,VULC3.SA
VVEO3,VVEO3.SA
WEGE3,WEGE3.SA
WEST3,WEST3.SA
WHRL3,WHRL3.SA
WIZC3,WIZC3.SA
YDUQ3,YDUQ3.SA
